Id,Project,ReporterGroup,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Projection,Category,Date Submitted,ETA,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,Duplicate Id,Check In Date,Comments,Plan to fix,test,Owner Leader
0007806,ICS-G01,QADL,zhangchanglong,dinggh,high,major,random,ics.4-g01-20120723.0115-user,none,System,2012-07-25,none,,,,public,2012-09-19,【Daily】【System】G01 4.0手机发生死屏，重启手机不能恢复,assigned,open,,0000000,,,2012-09-07,,
0008688,ICS-G01, ,lianglizhen,dinggh,high,major,random,ics.4-g01-20120820.0114-user,none,Modem,2012-08-21,none,,,,public,2012-09-19,[modem] overnight出现modem重启。,assigned,open,,0000000,,,2012-09-07,,
0009382,ICS-I50,QABJ,mahui,wangxiaohong,high,minor,always,,none,System,2012-09-12,none,,,,public,2012-09-19,【I50-客户】【开机LOGO】 开机logo要改为客户自己的。,assigned,fixed,,0000000,2012-09-12,,,,
0009595,ICS-G01,QADL,zhangchanglong,jli,high,major,random,,none,System,2012-09-18,none,,,,public,2012-09-19,【Daily】【System】手机无法唤醒_滑动屏幕感不到屏幕操作,assigned,open,,0000000,,,,,
0009620,T11A,QAAS,qinhao,chenhengyi,high,minor,always,T11-t11-20120919.0629-user,none,FM Radio,2012-09-19,none,,,,public,2012-09-19,【FM Radio】进入FM死屏,assigned,open,,0000000,,,,,
0009616,ATgingerbread G01 DualSIM,QADL,qushuangyue,xuchunming,high,major,sometimes,customer-8.31-G01-g01-20120917.0243,none,voice call,2012-09-19,none,,,,public,2012-09-19,[Voice call]通话中听筒和免提切换，免提没有声音,assigned,open,,0000000,,,,,
0009573,ATgingerbread G01 DualSIM,QASZ,lingfu,cpeng,high,major,random,,none,voice call,2012-09-17,none,,,,public,2012-09-19,[Voice call]座机拨打sim1移动号码时提示无响应,assigned,open,,0000000,,,,,
0008320,ATgingerbread G01 DualSIM,QAAS,panyuwei,jli,urgent,major,random,,none,System,2012-08-13,none,,,,public,2012-09-19,[NewMaintree]【Overnight】手机充电，提示电压过高请更换充电器,assigned,open,,0000000,,,,,
0009320,T11A,QAAS,zhangying,jianjun,high,minor,always,T11-t11-20120910.0455-user,none,APK,2012-09-10,none,,,,public,2012-09-19,[APK]开始运行APK时花屏并提示无法播放视频，按确定后可以正常运行APK,assigned,open,,0000000,,,,,
0008130,T11A,QADL,gaoxin,luoweizhang,high,major,random,T11-t11-20120806.0159-user,none,System,2012-08-07,none,,,,public,2012-09-19,【Multimedia】连接充电线播放MP4手机自动关机,assigned,fixed,,0000000,2012-08-22,,,,
0009603,T11A,QAAS,gaoyuan,jli,high,major,sometimes,T11-t11-20120917.0624-user,none,System,2012-09-18,none,,,,public,2012-09-18,[APK] 运行GLBenchmark_2.0.3.1_Android_Corporate.apk死屏自动关机,assigned,open,,0000000,,,,,
0009331,ICS-I50,QADL,zhangchanglong,panyiwen,high,major,always,,none,System,2012-09-11,none,,,,public,2012-09-18,【I50-客户】【System】两个LCD驱动无法通过配置调换,assigned,open,,0000000,,,,,
0009498,ATgingerbread G01 DualSIM,QADL,miaoqianwen,wangpeng,high,major,random,customer-8.31-G01-g01-20120904.0331,none,Modem,2012-09-15,none,,,,public,2012-09-18,[Modem]开启sim1data，编辑彩信使用sim2发送，操作多次掉网,assigned,open,,0000000,,,,,
0009587,T11A,QAAS,gaoyuan,jli,high,major,sometimes,T11-t11-20120917.0624-user,none,System,2012-09-18,none,,,,public,2012-09-18,[APK] 运行NenaMark2_2.3.apk死屏自动关机,assigned,open,,0000000,,,,,
0009583,T11A,QAAS,zhengchunyue,xiehongbiao,high,major,random,T11-t11-20120917.0624-user,none,Multimedia,2012-09-18,none,,,,public,2012-09-18,【Overnight】【Multimedia】用图库和ES媒体播放器播放MP4时提示抱歉，无法播放该格式的视频,assigned,open,,0000000,,,,,
0009024,T11A,QABJ,wangyan,sence_zhang,high,major,sometimes,T11-t11-20120830.0332-user,none,System,2012-08-31,none,,,,public,2012-09-18,【APK】运行APK后手机死机,assigned,open,,0000000,,,,,
0007973,T11A,QAAS,panyuwei,jli,high,major,have not tried,T11-t11-20120731.0359-user,none,APK,2012-08-01,none,,,,public,2012-09-18,【APK】玩水果忍者游戏，很卡。,assigned,open,,0000000,,,,,
0009584,ATgingerbread G01 DualSIM,QASZ,mahui,jli,high,minor,random,,none,System,2012-09-18,none,,,,public,2012-09-18,[Daily][System] 测试机充电并deepsleep ，拔出充电器后，按powerkey无法唤醒手机,assigned,open,,0000000,,,,,
0009421,ATgingerbread A520 DualSIM,QADL,wangqi,xuchunming,high,major,sometimes,,none,Muiltimedia,2012-09-13,none,,,,public,2012-09-18,[Platform][Maintree][Muiltimedia]播放视频，实际音量与手机媒体音量不一致,assigned,open,,0000000,,,,,
0009338,ATgingerbread G01 DualSIM,QADL,gaoyang,sunyue,high,major,sometimes,,none,Modem,2012-09-11,none,,,,public,2012-09-18,[customer8.31]电话优先测试log跟踪 ------- Modem重启、双卡掉网,assigned,open,,0000000,,,,,
0009361,ATgingerbread A520 DualSIM,QADL,wangqi,xiehongbiao,high,major,always,,none,System,2012-09-11,none,,,,public,2012-09-18,[Maintree][System]安装3D壁纸，玩非常跳跃.apk自动退出,assigned,open,,0000000,,,,,
0009566,T11A,QAAS,gaoyuan,jli,high,major,sometimes,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,[Phone] 信号2格，拨打电话，“com.android.phone无响应”，自动关机,assigned,open,,0000000,,,,,
0009569,T11A,QAAS,zhengchunyue,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【System】进入到相机后屏幕变黑，手机自动关机,assigned,open,,0000000,,,,,
0009571,T11A,QAAS,zhengchunyue,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【System】闹铃再次响后切换到摄像模式屏幕闪现小细纹，点击摄像按钮后屏幕变黑，手机自动关机,assigned,open,,0000000,,,,,
0009577,T11A,QAAS,jinyongxu,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【System】退出愤怒的小鸟，自动重启停在安卓界面,assigned,open,,0000000,,,,,
0009528,T11A,QAAS,wangshanshan,jli,high,major,random,T11-t11-20120917.0624-user,none,Settings,2012-09-17,none,,,,public,2012-09-17,【Setting】关闭飞行模式过程中发生自动关机,assigned,open,,0000000,,,,,
0009092,ATgingerbread G01 DualSIM,QASZ,sulizhu,jli,high,minor,random,,none,System,2012-09-03,none,,,,public,2012-09-17,[NewMaintree][system][overnight]手机自动重启,assigned,open,,0000000,,,,,
0009362,ATgingerbread G01 DualSIM,QADL,donglide,wfmao,high,major,always,customer-8.31-G01-g01-20120910.0239,none,BT,2012-09-11,none,,,,public,2012-09-17,【BT】断开蓝牙耳机后，视频卡屏。,assigned,open,,0000000,,,,,
0009564,ATgingerbread G01 DualSIM,QADL,zhangzheng2012,luoweizhang,high,major,always,,none,UI,2012-09-17,none,,,,public,2012-09-17,[UI] 电池电量在两台G01手机上显示不一致,assigned,open,,0000000,,,,,
0009517,ATgingerbread G01 DualSIM,QADL,liuguifang,denglei,high,major,always,,none,Muiltimedia,2012-09-17,none,,,,public,2012-09-17,[Muiltimedia]开机后前俩次播放视频的音量过高,assigned,open,,0000000,,,,,
0009095,ATgingerbread G01 DualSIM, ,sulizhu,zhangsong,high,minor,random,,none,UI,2012-09-03,none,,,,public,2012-09-17,[NewMaintree][system][overnight]断开充电线后UI上仍显示为充电状态,assigned,open,,0000000,,,,,
0008611,ATgingerbread G01 DualSIM,QADL,fuxin,jli,high,minor,random,,none,System,2012-08-20,none,,,,public,2012-09-17,[NewMaintree][Daily][System]UI重启，手机长时间显示android界面,assigned,open,,0000000,,,,,
0008586,ATgingerbread G01 DualSIM, ,sulizhu,jli,high,minor,random,,none,System,2012-08-17,none,,,,public,2012-09-17,[NewMaintree][system]飞行模式下拨打112时手机自动关机,assigned,open,,0000000,,,,,
0009378,ICS-G01, ,zhouqinglan,yangzilong,high,major,sometimes,ics.4g01-20120911.0502-user,none,APK,2012-09-12,none,,,,public,2012-09-17,[APK]使用QQ视频聊天时，关闭camera，出现camera预览瞬间花屏现象，返回主菜单查看墙纸显示有异常.,assigned,open,,0000000,,,,,
0009390,T11A,QAAS,panyuwei,guozhengqin,high,major,always,T11-t11-20120911.0551-user,none,Default APK,2012-09-12,none,,,,public,2012-09-17,【7700】【Default APK】歌曲名称，显示乱码。,assigned,open,,0000000,,,,,
0009521,ATgingerbread A520 DualSIM,QADL,wangqi,yangzilong,high,major,random,,none,Camera,2012-09-17,none,,,,public,2012-09-17,[Maintree][Camera]短信添加“拍摄视频”的附件，摄像界面的预览窗定格在一个画面,assigned,open,,0000000,,,,,
0009556,T11A,QAAS,zhengchunyue,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【System】进入camera，拍照和录像模式切换，触屏失效,assigned,open,,0000000,,,,,
0009525,T11A,QADL,gaoxin,jli,high,major,random,,none,System,2012-09-17,none,,,,public,2012-09-17,【System】关闭USB调试，手机死屏关机,assigned,open,,0000000,,,,,
0009533,T11A,QAAS,muxiaoli,jli,high,major,sometimes,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,[System]打开USB存储设备后会弹出提示“系统用户界面无响应”,assigned,open,,0000000,,,,,
0009536,T11A,QAAS,zhangying,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【system】13:59时呼出号码后，对方可以接通，但没有声音，MO端没有显示通话，10s后黑屏，按任何键都不能点亮屏幕，但3个功能键是亮的。14:00手机自动重启，MT端显示电话挂断,assigned,open,,0000000,,,,,
0009542,T11A,QADL,gaoxin,jli,high,major,random,T11-t11-20120917.0624-user,none,APK,2012-09-17,none,,,,public,2012-09-17,【APK】中国象棋，死在某个界面,assigned,open,,0000000,,,,,
0009546,T11A,QAAS,zhangying,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,[System]15:46手机在拨号时出现了手机自动关机现象,assigned,open,,0000000,,,,,
0009553,T11A,QAAS,zhengchunyue,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,【System】拨打10086，开启关闭免提，手机自动关机,assigned,open,,0000000,,,,,
0009547,T11A,QADL,taoguangrui,wangpeng,high,major,always,T11-t11-20120917.0624-user,none,voice call,2012-09-17,none,,,,public,2012-09-17,[Daily][Voice call]T11跑DSP LOG无法开启voice dump,assigned,open,,0000000,,,,,
0009527,ATgingerbread G01 DualSIM, ,sulizhu,cpeng,high,major,random,,none,Data service,2012-09-17,none,,,,public,2012-09-17,[data service][overnight]联通卡登录微博/连接网页不成功,assigned,open,,0000000,,,,,
0009392,T11A,QAAS,panyuwei,jli,high,minor,sometimes,T11-t11-20120912.0551-user,none,APK,2012-09-12,none,,,,public,2012-09-17,【7700】【APK】运行水果忍者APK，卡屏，弹出无响应。,assigned,open,,0000000,,,,,
0009538,T11A,QAAS,anqiang,jli,high,major,always,T11-t11-20120917.0624-user,none,System,2012-09-17,none,,,,public,2012-09-17,[CR][System]添加高温保护功能,assigned,open,,0000000,,,,,
0009520,ATgingerbread G01 DualSIM,QAAS,panyuwei,jli,high,major,random,,none,System,2012-09-17,none,,,,public,2012-09-17,【System】卡2开data，FTP下载，卡1打电话，手机死屏。,assigned,open,,0000000,,,,,
0009488,T11A,QADL,gaoxin,jli,high,major,random,T11-t11-20120914.0545-user,none,voice call,2012-09-15,none,,,,public,2012-09-17,【voice call】通讯录无响应、启动器无响应、活动电话无响应,assigned,open,,0000000,,,,,
0008338,ICS-G01, ,chaihongying,cpeng,high,major,random,ics.4-g01-20120811.0116-user,none,System,2012-08-13,none,,,,public,2012-09-17,[System]唤醒手机后wifi没有自动连接也没有显示data图标，无法进入拨号盘，Shell工作不正常，重启后恢复,assigned,open,,0000000,,,2012-09-07,,
0009339,ATgingerbread G01 DualSIM,QAAS,jinyongxu,sunyue,high,major,random,,none,Modem,2012-09-11,none,,,,public,2012-09-14,[MMS] 接收MMS时，切换数据连接，双卡无信号,assigned,open,,0000000,,,,,
0009220,T11A,QAAS,gaoyuan,xiehongbiao,high,major,always,T11-t11-20120905.0441-user,none,Multimedia,2012-09-06,none,,,,public,2012-09-14,[7700][Video] 播放视频横屏切换为竖屏后，back键返回，出现半屏,assigned,open,,0000000,,,,,
0009249,ATgingerbread G01 DualSIM, ,sulizhu,jli,high,major,sometimes,,none,System,2012-09-07,none,,,,public,2012-09-14,[system]出现进程意外停止提示,assigned,open,,0000000,,,,,
0009065,ICS-G01,QADL,zhangchanglong,cpeng,high,major,always,ics.4-atxx-G01-8.23-20120831.0159-user,none,WiFi,2012-09-01,none,,,,public,2012-09-14,[Daily][WIFI]WIFI和Data同时打开时，系统频繁唤醒导致耗电过多,assigned,open,,0000000,,,,,
0009449,T11A,QAAS,wangjunzhu,jli,high,major,random,T11-t11-20120913.0546-user,none,System,2012-09-14,none,,,,public,2012-09-14,【Overnight】【System】呼出电话后手机死屏,assigned,open,,0000000,,,,,
0009446,ICS-G01,QADL,zhangchanglong,jli,high,major,always,,none,System,2012-09-13,none,,,,public,2012-09-13,[Daily][System]一台所罗门机器插入USB线死屏关机,assigned,open,,0000000,,,,,
0009292,Product-W1,,diaohongmei,mengxj,high,minor,sometimes,,none,System,2012-09-10,none,,,,public,2012-09-13,"[客户版本][system]低电手动重启,停留在HDC界面很久,然后又从头开始开机;",assigned,open,,0000000,,,,,
0009420,T11A,QAAS,panyuwei,jli,high,major,random,T11-t11-20120912.0551-user,none,SMS/MMS,2012-09-13,none,,,,public,2012-09-13,【Overnight】【SMS/MMS】接收彩信时，手机闪屏，随后死屏。,assigned,open,,0000000,,,,,
0009256,Product-W1,,lixiaoji,lixia,high,minor,random,,none,WiFi,2012-09-07,none,,,,public,2012-09-13,[wifi]使用wifi在酷我音乐盒播放音乐，wifi信号两格，提示网络不可用，退出再进去就提示设备没有SD卡 .附件为log 出现过两次,assigned,open,,0000000,,,,,
0009427,T11A,QAAS,wangjunzhu,jli,high,major,always,T11-t11-20120913.0546-user,none,System,2012-09-13,none,,,,public,2012-09-13,【USB】PC端向手机端传输文件过程中，无法关闭USB存储设备。,assigned,open,,0000000,,Function Case_System.xls_USB_1.2.9,,,
0008161,T11A,QAAS,wangshanshan,sence_zhang,high,major,sometimes,T11-t11-20120808.0200-user,none,System,2012-08-08,none,,,,public,2012-09-13,【USB】10:30 玩游戏过程中进行插拔USB线，出现死屏，30S到1分钟之内自动关机,assigned,open,,0000000,,,,,
0008829,T11A,QAAS,zhangying,guoguangyi,high,major,random,T11-t11-20120824.0201-user,none,Camera,2012-08-24,none,,,,public,2012-09-13,【camera】开启闪光灯后第一次拍摄没有快门音,assigned,open,,0000000,,,2012-09-30,,
0009417,Product-W1,,diaohongmei,Dennis Meng,high,minor,sometimes,,none,WiFi,2012-09-12,none,,,,public,2012-09-12,[wifi]打开关闭wifi系统重启;,assigned,open,,0000000,,,,,
0009225,Product-A530,QASZ,lvliyan,xingzengmou,high,minor,random,,none,Overnight,2012-09-07,none,,,,public,2012-09-12,"[Overnight 09/06] GPRS图标有显示,但无法登陆新浪微博,提示""未知的服务器"",23:51分进入UC浏览器,出现重启,一直停留在android界面",assigned,open,,0000000,,,,,
0006356,ICS-G01, ,zhangxue,zhangsong,high,major,sometimes,ics-paradise-g01-20120521.0035-user,none,CTP,2012-05-21,none,,,,public,2012-09-12,[CTP] 睡眠后立刻唤醒手机解锁，需滑动屏幕两次或以上才能解锁,assigned,fixed,ics.4-g01-20120804.0117-user,0000000,2012-08-03,,2012-08-08,,
0009347,T11A,QAAS,panyuwei,jli,high,major,sometimes,T11-t11-20120911.0551-user,none,Default APK,2012-09-11,none,,,,public,2012-09-12,【Default APK】打开USB存储设备时，手机会卡屏，并弹出关闭提示。,assigned,open,,0000000,,,,,
0009373,ATgingerbread G01 DualSIM,QASZ,lingfu,jli,high,major,random,,none,System,2012-09-12,none,,,,public,2012-09-12,[System]在开启wifi和蓝牙的前提下，反复用sim2打电话，出现一次系统自动重启,assigned,open,,0000000,,,,,
0009360,ICS-G01,QADL,duzuchuang,dingshengdong,high,major,always,ics.4g01-20120911.0502-user,none,Data service,2012-09-11,none,,,,public,2012-09-12,[Daily][Data service]使用recovery模式升级手机，打开Data后无E/G图标且不能上网,assigned,open,,0000000,,,,,
0005435,ATgingerbread G01 DualSIM, ,lianglizhen,houxianlong,high,minor,random,gingerbread-G01-g01-20120410.0509-user,none,Data service,2012-04-11,none,,,,public,2012-09-12,[Modem]出现选中SIM 数据连接但是没有data图标，上不了网，重启才恢复。,assigned,open,,0000000,,,,,
0009383,ICS-I50,QADL,zhangchanglong,cpeng,high,major,always,,none,WiFi,2012-09-12,none,,,,public,2012-09-12,[I50-客户][Wifi]开启wifi上QQ，手机睡眠状态下，不停被唤醒，耗电严重,assigned,open,,0000000,,,,,
0009191,Product-A530,QASZ,lvliyan,zhangsong,high,minor,sometimes,,none,CTP,2012-09-05,none,,,,public,2012-09-12,"[rewrite]20120905使用微信4.0,插上耳机,自动暗屏",assigned,open,,0000000,,,,,
0008237,T11A,QAAS,gaoyuan,wangxiaohong,high,major,random,T11-t11-20120809.0200-user,none,Camera,2012-08-09,none,,,,public,2012-09-12,[Camera] 保存全景图时，闹钟响，点击取消，继续拍摄，出现花屏,assigned,fixed,,0000000,2012-09-07,,,,
0009263,ATgingerbread G01 DualSIM, ,sulizhu,jli,high,major,random,,none,System,2012-09-08,none,,,,public,2012-09-12,[system]无响应-CPU100%,assigned,open,,0000000,,,,,
0009375,T11A,QAAS,gaoyuan,jli,high,minor,always,T11-t11-20120912.0551-user,none,System,2012-09-12,none,,,,public,2012-09-12,[System] 亮屏手机（#7）将亮度调到最大时，有兹兹声,assigned,open,,0000000,,,,,
0007985,T11A,QAAS,wangshanshan,cpeng,high,major,always,T11-t11-20120801.1133-user,none,WiFi,2012-08-01,none,,,,public,2012-09-12,【WIFI】WIFl连接后不稳定，2M左右，wifi断开连接,assigned,open,,0000000,,,,,
0009272,T11A,QAAS,wangjunzhu,jli,high,major,random,T11-t11-20120907.0457-user,none,System,2012-09-10,none,,,,public,2012-09-12,[System]Idle界面，点击相机快捷方式图标后出现死屏。,assigned,open,,0000000,,,,,
0009278,T11A,QAAS,anqiang,chenhengyi,high,major,always,T11-t11-20120907.0457-user,none,FM Radio,2012-09-10,none,,,,public,2012-09-12,[FM]客户要求FM支持外放,assigned,open,,0000000,,,2012-10-15,,
0009296,T11A,QAAS,anqiang,chenhengyi,high,major,always,T11-t11-20120907.0457-user,none,FM Radio,2012-09-10,none,,,,public,2012-09-12,[customer][FM]客户反馈：FM手动预置频道过少，只能保存3个频道,assigned,open,,0000000,,,2012-10-15,,
0009300,T11A, ,anqiang,chenhengyi,high,major,always,T11-t11-20120907.0457-user,none,FM Radio,2012-09-10,none,,,,public,2012-09-12,[Customer][FM]FM播放中，下拉状态栏FM状态显示为英文,assigned,open,,0000000,,,2012-09-30,,
0009308,T11A, ,anqiang,jli,high,major,random,T11-t11-20120910.0455-user,none,System,2012-09-10,none,,,,public,2012-09-12,[Customer][System]手机操作一小会就开始发烫,assigned,open,,0000000,,,2012-09-10,,
0009293,Product-W1,,diaohongmei,Dennis Meng,high,minor,sometimes,,none,voice call,2012-09-10,none,,,,public,2012-09-11,[客户版本][voice call]出现电话进程无响应,assigned,open,,0000000,,,,,
0008973,T11A,QAAS,panyuwei,jli,high,major,random,T11-t11-20120829.0333-user,none,Default APK,2012-08-29,none,,,,public,2012-09-11,【Default APK】设置闹钟后返回上级菜单，提示闹钟运行终止,assigned,open,,0000000,,,,,
0007910,T11A, ,zhaoxin,wangxiaohong,high,major,always,T11-t11-20120731.0359-user,none,Camera,2012-07-31,none,,,,public,2012-09-11,[Camera]后置摄像头在拍照后预览界面出现全屏的花屏,assigned,fixed,,0000000,2012-09-07,,,,
0004771,ATgingerbread G01 DualSIM,QADL,zhangchanglong,jli,high,major,sometimes,,none,voice call,2012-03-07,none,,,,public,2012-09-11,[Daily][Headset icon]打电话时出现耳机图标,assigned,open,,0000000,,,,,
0007329,ICS-G01, ,zhangxue,xiehongbiao,high,major,always,ics.4-g01-20120703.0323-user,none,APK,2012-07-03,none,,,,public,2012-09-11,[APK] ”唯美意境动态壁纸"设置时不能载入动态壁纸,assigned,open,,0000000,,,2012-09-07,,
0008807,T11A,QAAS,qinhao,guoguangyi,high,major,always,T11-t11-20120824.0201-user,none,System,2012-08-24,none,,,,public,2012-09-10,【System】闹钟响铃声音太小,assigned,open,,0000000,,,2012-09-30,,
0007922,T11A,QAAS,gaoyuan,wangxiaohong,high,major,always,T11-t11-20120731.0359-user,none,FM Radio,2012-07-31,none,,,,public,2012-09-10,[FM] FM搜索不到频道,assigned,fixed,,0000000,2012-08-31,,2012-09-30,,
0009270,T11A,QAAS,wangxiaole,jli,high,major,random,T11-t11-20120907.0457-user,none,System,2012-09-10,none,,,,public,2012-09-10,"[System]点击桌面快捷方式进入Canmera时,自动关机",assigned,open,,0000000,,,,,
0009274,T11A, ,wangyan,jli,high,major,sometimes,T11-t11-20120907.0457-user,none,System,2012-09-10,none,,,,public,2012-09-10,【system】插充电器播放幻灯片，屏幕定格在图片上死机,assigned,open,,0000000,,,,,
